"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Tests","0","Board Validation","20","0","Bord","0"
"0","API Tests","0","Lists Validation","12","0","lists","0"
"0","API Tests","0","Cards Validation","1","0","Verify field on a cards","0"
"0","API Tests","0","Cards Validation","3","0","Verify cards","0"
"0","UI Tests","0","Board Validation","1","0","Bord","0"
"2","UI Tests","0","Board Validation","0","0","Board","0"
"0","API Tests","0","Cards Validation","1","0","Verify actions on a cards","0"
