"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","API Tests","0","Cards Validation","0","3","Verify cards","0"
"0","API Tests","0","Board Validation","1","0","Verify get memberships on a board","0"
"0","API Tests","0","Board Validation","1","0","Verify update board","0"
"0","API Tests","0","Board Validation","1","0","Verify created board","0"
"0","API Tests","0","Board Validation","1","0","Verify add member from board","0"
"0","API Tests","0","Board Validation","1","0","Verify get board","0"
"0","API Tests","0","Board Validation","9","0","Bord","0"
"0","API Tests","0","Board Validation","1","0","Verify get labels on a board","0"
"0","API Tests","1","Lists Validation","0","0","Verify lists","0"
"0","API Tests","0","Board Validation","1","0","Verify created a lable on a board","0"
"0","API Tests","0","Board Validation","1","0","Verify get boardStars on a board","0"
"0","API Tests","0","Board Validation","1","0","Verify List on a Board","0"
"0","API Tests","1","Board Validation","0","0","Verify delete board","0"
"0","API Tests","0","Board Validation","1","0","Verify remove member from board","0"
